NOME,spots,AREA_M2,area_km2,spots_per_km2
Santo António,17.0,1494328.42,1.49432842,11.38
Campolide,28.0,2774335.52,2.77433552,10.09
Arroios,19.0,2127843.26,2.1278432599999997,8.93
Misericórdia,16.0,2192169.25,2.19216925,7.3
Santa Maria Maior,20.0,3011550.94,3.01155094,6.64
Avenidas Novas,19.0,2994483.66,2.99448366,6.35
Campo de Ourique,6.0,1651382.9500000002,1.6513829500000001,3.63
Estrela,16.0,4604033.92,4.60403392,3.48
Areeiro,4.0,1718936.2000000002,1.7189362000000001,2.33
São Vicente,2.0,1985829.25,1.98582925,1.01
Benfica,8.0,8024925.81,8.02492581,1.0
São Domingos de Benfica,4.0,4294339.97,4.294339969999999,0.93
